Gender,US,Europe,UK,Inches,Centimetres
Men,6,39,5.5,9.3,23.5
Men,6.5,39,6,9.5,24.1
Men,7,40,6.5,9.6,24.4
Men,7.5,40-41,7,9.8,24.8
Men,8,41,7.5,9.9,25.4
Men,8.5,41-42,8,10.1,25.7
Men,9,42,8.5,10.3,26.0
Men,9.5,42-43,9,10.4,26.7
Men,10,43,9.5,10.6,27.0
Men,10.5,43-44,10,10.8,27.3
Men,11,44,10.5,10.9,27.9
Men,11.5,44-45,11,11.1,28.3
Men,12,45,11.5,11.3,28.6
Men,13,46,12.5,11.6,29.4
Men,14,47,13.5,11.9,30.2
Men,15,48,14.5,12.2,31.0
Men,16,49,15.5,12.5,31.8
Women,4,35,2,8.2,20.8
Women,4.5,35,2.5,8.4,21.3
Women,5,35-36,3,8.5,21.6
Women,5.5,36,3.5,8.8,22.2
Women,6,36-37,4,8.9,22.5
Women,6.5,37,4.5,9.1,23.0
Women,7,37-38,5,9.3,23.5
Women,7.5,38,5.5,9.4,23.8
Women,8,38-39,6,9.5,24.1
Women,8.5,39,6.5,9.7,24.6
Women,9,39-40,7,9.9,25.1
Women,9.5,40,7.5,10.0,25.4
Women,10,40-41,8,10.2,25.9
Women,10.5,41,8.5,10.3,26.2
Women,11,41-42,9,10.5,26.7
Women,11.5,42,9.5,10.7,27.1
Women,12,42-43,10,10.9,27.6
